,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
20646,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,60,2,8,2.61,1,258
20647,Neukölln,Rixdorf,Entire home/apt,70,2,8,2.7,6,141
20648,Neukölln,Reuterstraße,Private room,35,2,11,4.23,2,46
20649,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,40,3,2,0.91,1,4
20650,Pankow,Prenzlauer Berg Süd,Private room,40,4,3,1.13,3,14
20651,Pankow,Prenzlauer Berg Ost,Entire home/apt,46,4,7,2.56,2,33
20653,Marzahn - Hellersdorf,Mahlsdorf,Private room,26,1,16,6.96,1,158
20654,Steglitz - Zehlendorf,Schloßstr.,Entire home/apt,95,2,6,2.69,1,343
20655,Lichtenberg,Alt-Hohenschönhausen Süd,Private room,30,1,13,4.64,1,74
20656,Mitte,Moabit Ost,Private room,30,1,3,1.1,2,0
20657,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,48,1,2,0.98,1,78
20658,Neukölln,Neuköllner Mitte/Zentrum,Private room,45,6,8,2.82,1,0
20659,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,90,4,3,1.02,1,102
20660,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,25,3,9,2.93,1,70
20661,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,49,1,13,4.43,1,53
20662,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,42,1,6,2.22,1,0
20663,Neukölln,Schillerpromenade,Private room,38,2,2,0.77,1,310
20664,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,40,1,11,4.34,1,60
20665,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,60,1,2,0.68,3,29
20666,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,95,5,5,1.85,1,34
20667,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,40,1,16,5.45,1,145
20669,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Private room,25,2,4,1.38,1,0
20670,Pankow,Prenzlauer Berg Ost,Private room,25,2,17,6.89,1,24
20672,Mitte,Brunnenstr. Süd,Private room,58,1,3,1.0,3,159
20673,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,50,1,3,1.13,1,0
20674,Mitte,Alexanderplatz,Entire home/apt,100,6,4,2.26,1,58
20675,Neukölln,Rudow,Private room,17,1,15,5.17,1,114
20677,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,110,3,1,0.94,1,0
20678,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,30,3,4,1.85,1,5
20679,Pankow,Pankow Zentrum,Private room,17,2,3,1.11,1,0
20680,Mitte,Alexanderplatz,Private room,35,1,13,4.43,1,3
20681,Pankow,Weißensee,Private room,35,1,2,2.0,1,342
20682,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,80,2,2,1.25,1,50
20683,Mitte,Alexanderplatz,Entire home/apt,66,2,9,4.35,1,15
20684,Charlottenburg-Wilm.,Kantstraße,Private room,35,3,3,1.05,1,5
20685,Mitte,Brunnenstr. Süd,Private room,45,4,4,1.4,1,22
20686,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,55,4,1,1.0,1,0
20688,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,100,1,2,0.82,7,364
20689,Mitte,Alexanderplatz,Entire home/apt,120,3,3,1.11,1,9
20692,Mitte,Moabit West,Private room,50,5,2,1.54,3,362
20693,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,58,2,4,1.71,1,3
20694,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,35,2,8,2.76,1,334
20695,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,26,3,6,2.0,1,0
20696,Pankow,Prenzlauer Berg Südwest,Private room,39,3,4,1.64,1,85
20697,Mitte,Alexanderplatz,Entire home/apt,60,5,1,1.0,1,0
20698,Mitte,Moabit Ost,Entire home/apt,50,1,18,6.21,1,84
20700,Mitte,Brunnenstr. Süd,Private room,35,3,1,0.33,1,0
20701,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,98,1,6,2.12,2,0
20702,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,20,3,2,0.82,1,0
20703,Mitte,Brunnenstr. Nord,Private room,26,3,7,2.5,1,10
20704,Neukölln,Neuköllner Mitte/Zentrum,Private room,60,3,3,1.43,1,88
20705,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Private room,50,1,3,1.45,1,3
20707,Mitte,Alexanderplatz,Entire home/apt,95,2,7,2.73,1,0
20709,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,32,1,3,1.15,1,0
20710,Neukölln,Rixdorf,Entire home/apt,140,1,4,1.62,1,3
20711,Neukölln,Neuköllner Mitte/Zentrum,Private room,50,2,3,1.2,1,0
