,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
0,Mitte,Brunnenstr. Süd,Entire home/apt,60,4,118,3.76,4,141
1,Pankow,Prenzlauer Berg Nordwest,Private room,17,2,6,1.42,1,0
2,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,62,143,1.25,1,220
3,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,26,5,25,0.39,1,297
4,Pankow,Helmholtzplatz,Private room,42,2,197,1.75,1,26
5,Pankow,Prenzlauer Berg Südwest,Entire home/apt,180,6,6,0.15,1,137
6,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,70,90,23,0.23,3,129
8,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,90,60,48,0.47,2,159
9,Pankow,Prenzlauer Berg Südwest,Private room,45,3,279,2.83,1,42
10,Neukölln,Reuterstraße,Entire home/apt,49,5,223,2.1,1,232
11,Pankow,Prenzlauer Berg Südwest,Entire home/apt,129,3,56,0.75,1,166
12,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,70,60,60,0.61,2,129
13,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,98,3,61,0.59,2,257
14,Mitte,Brunnenstr. Süd,Entire home/apt,160,3,223,2.27,1,228
15,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,65,60,96,0.94,1,275
16,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,3,18,0.18,2,3
17,Pankow,Prenzlauer Berg Süd,Entire home/apt,90,4,5,0.05,2,15
18,Pankow,Helmholtzplatz,Entire home/apt,197,3,163,1.63,1,336
19,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,70,90,28,0.29,3,191
20,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,90,5,30,0.33,1,55
21,Neukölln,Reuterstraße,Entire home/apt,60,2,1,0.02,10,341
22,Pankow,Helmholtzplatz,Entire home/apt,130,60,69,0.7,3,221
23,Pankow,Helmholtzplatz,Entire home/apt,100,4,240,2.42,4,296
24,Pankow,Helmholtzplatz,Private room,44,1,28,4.94,1,361
25,Mitte,Moabit Ost,Entire home/apt,62,3,144,1.44,1,343
26,Pankow,Prenzlauer Berg Nord,Entire home/apt,55,60,1,0.01,1,89
27,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,40,1,33,1.63,2,297
28,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,25,5,21,0.21,1,329
29,Mitte,Brunnenstr. Süd,Entire home/apt,52,2,307,3.04,2,25
30,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,39,1,161,1.59,2,120
31,Pankow,Prenzlauer Berg Süd,Entire home/apt,80,84,102,1.03,10,221
32,Neukölln,Schillerpromenade,Entire home/apt,80,10,6,0.06,1,310
33,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,50,3,50,0.62,2,0
34,Pankow,Prenzlauer Berg Südwest,Private room,43,2,70,0.7,1,0
35,Pankow,Prenzlauer Berg Süd,Private room,40,1,1,0.02,1,0
36,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,36,1,25,0.32,2,217
37,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,119,4,109,1.14,1,285
38,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,5,65,0.66,2,186
39,Treptow - Köpenick,Alt  Treptow,Private room,42,3,11,0.12,1,65
40,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,56,2,101,1.02,1,32
41,Pankow,Prenzlauer Berg Südwest,Private room,50,4,151,1.63,1,0
42,Mitte,Brunnenstr. Süd,Entire home/apt,48,60,38,0.48,2,264
43,Pankow,Prenzlauer Berg Südwest,Entire home/apt,160,3,35,0.35,1,32
45,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,88,5,5,0.07,1,0
46,Mitte,Alexanderplatz,Private room,55,4,156,1.6,1,33
48,Mitte,Alexanderplatz,Entire home/apt,90,2,1,0.01,1,67
49,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,55,60,11,0.16,1,285
50,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,200,3,81,0.84,3,68
51,Mitte,Brunnenstr. Süd,Entire home/apt,80,3,160,1.68,1,264
52,Steglitz - Zehlendorf,Ostpreußendamm,Entire home/apt,49,2,3,0.03,1,0
53,Mitte,Alexanderplatz,Entire home/apt,55,90,72,0.88,1,352
54,Pankow,Prenzlauer Berg Süd,Entire home/apt,130,5,32,0.37,2,211
55,Pankow,Prenzlauer Berg Südwest,Entire home/apt,90,5,76,0.85,2,149
56,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,120,2,7,0.13,4,86
57,Neukölln,Neuköllner Mitte/Zentrum,Private room,37,6,96,1.28,2,347
58,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,52,2,89,1.16,3,323
59,Pankow,Prenzlauer Berg Nordwest,Private room,44,3,45,0.5,2,123
60,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,102,2,34,0.39,1,0
61,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,29,2,70,0.91,1,58
62,Pankow,Prenzlauer Berg Nord,Entire home/apt,84,3,220,2.43,10,315
63,Charlottenburg-Wilm.,Kantstraße,Entire home/apt,80,3,37,0.55,2,349
64,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,69,3,200,2.14,1,178
65,Pankow,Prenzlauer Berg Südwest,Entire home/apt,185,4,59,0.76,1,359
66,Charlottenburg-Wilm.,Schmargendorf,Entire home/apt,49,2,69,0.75,1,28
67,Mitte,Regierungsviertel,Entire home/apt,155,4,39,0.43,1,286
68,Pankow,Prenzlauer Berg Nord,Entire home/apt,66,3,238,2.59,1,69
69,Mitte,Brunnenstr. Süd,Entire home/apt,70,3,71,0.8,3,225
70,Pankow,Prenzlauer Berg Süd,Entire home/apt,53,2,197,2.23,2,249
71,Pankow,Helmholtzplatz,Entire home/apt,70,3,2,1.54,1,139
72,Pankow,Helmholtzplatz,Entire home/apt,92,1,265,2.86,2,323
73,Mitte,Brunnenstr. Süd,Entire home/apt,75,3,47,1.09,3,328
74,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,80,2,44,0.48,1,365
75,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,48,2,167,1.82,1,336
76,Pankow,Prenzlauer Berg Südwest,Entire home/apt,114,10,57,0.63,4,109
77,Neukölln,Reuterstraße,Entire home/apt,60,2,44,0.48,1,2
79,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,50,1,154,1.69,1,315
80,Pankow,Prenzlauer Berg Süd,Entire home/apt,82,60,91,1.0,2,319
81,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,80,3,59,0.66,1,363
82,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,60,3,68,0.77,1,236
83,Mitte,Alexanderplatz,Entire home/apt,70,4,114,1.33,2,194
84,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,130,3,53,0.74,1,140
85,Pankow,Blankenfelde/Niederschönhausen,Entire home/apt,69,2,3,0.05,1,344
86,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,75,14,3,0.06,1,310
87,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,68,60,84,0.93,1,266
88,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Entire home/apt,125,7,5,0.06,1,0
89,Treptow - Köpenick,Friedrichshagen,Entire home/apt,70,2,26,0.49,1,340
90,Mitte,Alexanderplatz,Entire home/apt,89,2,443,5.2,5,295
91,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,59,2,16,0.37,1,302
92,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,96,1,148,1.67,1,202
93,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,75,2,191,2.13,1,0
94,Mitte,Alexanderplatz,Private room,55,2,226,2.54,1,322
95,Neukölln,Schillerpromenade,Entire home/apt,55,30,55,0.63,1,312
96,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,Private room,70,3,107,1.41,1,50
97,Pankow,Prenzlauer Berg Nordwest,Entire home/apt,31,183,39,0.45,1,324
98,Mitte,Alexanderplatz,Private room,40,2,47,0.54,1,84
99,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,81,1,10,0.26,1,342
100,Pankow,Helmholtzplatz,Private room,52,3,127,1.61,1,341
101,Pankow,Prenzlauer Berg Nord,Entire home/apt,100,180,4,0.04,1,282
102,Mitte,Alexanderplatz,Entire home/apt,36,90,95,1.06,1,1
103,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,88,5,45,0.53,1,291
104,Mitte,Moabit West,Private room,29,1,252,2.96,1,324
105,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,100,10,3,0.08,1,325
106,Charlottenburg-Wilm.,Wiesbadener Straße,Entire home/apt,161,2,43,0.57,1,222
107,Reinickendorf,West 3,Entire home/apt,65,2,5,2.11,1,214
108,Pankow,Helmholtzplatz,Entire home/apt,70,2,103,1.36,1,42
109,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,29,150,71,0.8,2,359
110,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,80,5,12,0.14,1,253
111,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,49,3,374,4.21,1,5
112,Pankow,Blankenburg/Heinersdorf/Märchenland,Entire home/apt,49,2,6,0.08,1,159
113,Lichtenberg,Rummelsburger Bucht,Entire home/apt,59,1,28,0.35,2,16
114,Tempelhof - Schöneberg,Friedenau,Private room,30,1,13,0.32,1,0
115,Charlottenburg-Wilm.,Wiesbadener Straße,Private room,23,5,15,0.88,1,190
116,Mitte,Brunnenstr. Nord,Private room,40,5,5,0.07,1,362
117,Neukölln,Neuköllner Mitte/Zentrum,Private room,35,7,48,0.63,1,89
118,Pankow,Helmholtzplatz,Entire home/apt,70,4,84,1.73,1,320
119,Pankow,Prenzlauer Berg Südwest,Entire home/apt,80,2,33,0.38,1,0
120,Mitte,Alexanderplatz,Private room,42,1,1,0.03,1,0
121,Mitte,Alexanderplatz,Entire home/apt,96,60,31,0.37,4,0
122,Mitte,Alexanderplatz,Entire home/apt,75,60,56,0.71,4,280
123,Mitte,Alexanderplatz,Entire home/apt,96,60,41,0.5,4,364
124,Mitte,Alexanderplatz,Entire home/apt,76,60,81,0.98,4,0
125,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,46,60,8,0.09,2,309
126,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,296,1,18,0.31,3,331
127,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,244,1,17,0.2,3,333
128,Reinickendorf,Ost 2,Private room,20,1,11,0.48,1,0
129,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,50,3,1,0.03,1,1
130,Charlottenburg-Wilm.,Volkspark Wilmersdorf,Entire home/apt,59,2,39,0.49,1,96
131,Neukölln,Reuterstraße,Entire home/apt,75,2,71,0.83,1,243
132,Pankow,Pankow Zentrum,Entire home/apt,170,2,118,1.42,1,244
133,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,39,60,18,0.23,1,202
134,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,39,2,385,4.36,2,167
135,Mitte,Alexanderplatz,Entire home/apt,64,1,389,4.46,3,287
136,Pankow,Pankow Süd,Private room,35,15,15,0.19,1,0
137,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,100,2,350,4.21,1,272
139,Neukölln,Reuterstraße,Private room,29,7,14,0.16,1,258
140,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,32,62,51,0.65,1,205
141,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,45,2,2,0.03,4,86
142,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,120,3,7,0.13,4,86
143,Mitte,Osloer Straße,Private room,25,2,224,2.63,1,322
144,Steglitz - Zehlendorf,Drakestr.,Entire home/apt,59,3,63,1.03,1,130
145,Reinickendorf,West 1,Entire home/apt,86,1,4,0.17,4,87
146,Pankow,Prenzlauer Berg Südwest,Entire home/apt,45,28,14,0.16,1,0
147,Pankow,Prenzlauer Berg Ost,Entire home/apt,100,3,63,0.79,2,325
148,Mitte,Brunnenstr. Süd,Entire home/apt,80,4,79,0.9,1,0
149,Neukölln,Buckow Nord,Entire home/apt,50,2,3,0.04,2,242
150,Mitte,Alexanderplatz,Private room,49,1,40,0.75,1,0
151,Pankow,Pankow Süd,Entire home/apt,55,120,25,0.3,2,105
152,Mitte,Brunnenstr. Süd,Entire home/apt,79,2,212,2.44,3,6
153,Mitte,Brunnenstr. Süd,Entire home/apt,75,2,253,2.94,3,0
154,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,49,2,398,4.51,2,140
155,Mitte,Alexanderplatz,Private room,38,3,341,3.92,1,43
156,Lichtenberg,Karlshorst,Entire home/apt,65,3,33,0.4,6,328
157,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Nord,Private room,75,3,132,1.54,1,301
158,Mitte,Alexanderplatz,Entire home/apt,75,4,90,1.12,2,62
159,Lichtenberg,Alt-Lichtenberg,Private room,38,3,101,1.17,2,142
160,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,89,2,6,0.28,1,338
161,Mitte,Brunnenstr. Süd,Entire home/apt,74,2,301,4.48,1,66
162,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,50,3,92,1.06,3,0
163,Pankow,Blankenburg/Heinersdorf/Märchenland,Entire home/apt,120,1,27,0.31,1,352
164,Charlottenburg-Wilm.,Düsseldorfer Straße,Private room,38,7,9,0.2,2,321
165,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,25,1,10,0.13,1,0
167,Mitte,Tiergarten Süd,Entire home/apt,88,3,189,2.31,1,133
168,Pankow,Helmholtzplatz,Entire home/apt,125,4,110,1.29,1,97
169,Lichtenberg,Neu Lichtenberg,Private room,49,2,129,1.49,1,21
170,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,50,1,2,0.1,1,0
172,Charlottenburg-Wilm.,Mierendorffplatz,Private room,35,3,5,1.17,1,316
173,Mitte,Brunnenstr. Süd,Entire home/apt,70,3,22,0.28,1,15
174,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,195,3,7,0.46,1,0
176,Charlottenburg-Wilm.,Kantstraße,Private room,200,7,31,0.35,1,323
177,Mitte,Moabit West,Entire home/apt,165,3,245,2.82,1,295
179,Mitte,Alexanderplatz,Private room,35,1,161,1.9,1,326
180,Charlottenburg-Wilm.,Otto-Suhr-Allee,Private room,51,1,7,0.09,2,291
181,Neukölln,Reuterstraße,Private room,35,2,189,2.17,1,64
182,Mitte,Tiergarten Süd,Private room,45,3,195,2.48,1,129
183,Charlottenburg-Wilm.,Mierendorffplatz,Entire home/apt,60,30,16,0.24,1,276
184,Steglitz - Zehlendorf,Ostpreußendamm,Private room,45,2,29,0.39,1,328
185,Mitte,Wedding Zentrum,Entire home/apt,75,1,413,4.78,2,107
186,Mitte,Moabit West,Entire home/apt,69,60,195,2.32,1,339
187,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,45,2,6,0.08,1,0
188,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,Entire home/apt,50,2,2,0.05,4,113
189,Mitte,Brunnenstr. Süd,Entire home/apt,110,5,29,0.34,1,3
190,Mitte,Alexanderplatz,Private room,95,1,19,0.5,2,355
191,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,75,14,41,0.48,1,136
192,Treptow - Köpenick,Altglienicke,Private room,30,1,200,2.43,1,311
193,Mitte,Moabit Ost,Entire home/apt,65,5,51,0.6,2,311
194,Mitte,Moabit Ost,Entire home/apt,65,4,35,0.48,2,276
195,Mitte,Alexanderplatz,Private room,46,3,106,1.23,1,236
196,Tempelhof - Schöneberg,Lichtenrade,Entire home/apt,65,60,7,0.09,1,104
197,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,28,1,130,1.56,3,93
198,Charlottenburg-Wilm.,Westend,Entire home/apt,30,60,18,0.23,1,221
199,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,49,60,62,0.76,1,220
200,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,55,60,7,0.1,1,107
201,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,98,60,36,0.43,1,211
202,Neukölln,Reuterstraße,Private room,32,2,30,0.35,1,251
203,Marzahn - Hellersdorf,Mahlsdorf,Entire home/apt,55,2,15,0.26,1,345
204,Mitte,Brunnenstr. Süd,Entire home/apt,39,120,42,0.52,1,359
205,Mitte,Alexanderplatz,Entire home/apt,82,90,39,0.45,2,244
206,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,46,1,277,3.21,1,79
207,Mitte,Regierungsviertel,Private room,60,2,127,1.48,3,103
208,Reinickendorf,West 5,Entire home/apt,60,5,3,0.06,1,212
209,Neukölln,Buckow Nord,Entire home/apt,43,2,5,0.13,2,277
210,Mitte,Alexanderplatz,Entire home/apt,85,8,7,0.09,1,307
211,Pankow,Prenzlauer Berg Südwest,Entire home/apt,60,3,373,4.38,2,91
212,Pankow,Prenzlauer Berg Nordwest,Private room,58,4,80,0.96,1,271
213,Mitte,Brunnenstr. Süd,Private room,55,90,101,1.19,2,191
214,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,30,1,55,0.67,3,27
215,Neukölln,Rixdorf,Private room,31,3,146,4.33,3,0
216,Marzahn - Hellersdorf,Biesdorf,Private room,35,5,16,0.2,2,159
217,Mitte,Moabit Ost,Entire home/apt,45,2,105,1.37,1,232
218,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,100,4,42,0.53,1,274
220,Steglitz - Zehlendorf,Zehlendorf  Südwest,Entire home/apt,95,5,1,0.16,2,272
221,Mitte,Moabit West,Entire home/apt,63,2,73,1.02,6,251
222,Mitte,Moabit West,Entire home/apt,175,2,24,0.55,1,362
223,Mitte,Brunnenstr. Süd,Entire home/apt,130,1,179,2.31,2,44
224,Mitte,Brunnenstr. Süd,Entire home/apt,120,1,150,1.9,2,81
225,Treptow - Köpenick,Johannisthal,Entire home/apt,64,2,69,1.53,1,325
226,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,55,90,163,1.92,4,304
227,Tempelhof - Schöneberg,Schöneberg-Süd,Private room,29,1,62,0.73,1,349
228,Mitte,Regierungsviertel,Entire home/apt,150,3,104,1.27,1,302
229,Pankow,Prenzlauer Berg Nord,Entire home/apt,76,2,32,0.42,2,311
230,Mitte,Regierungsviertel,Entire home/apt,79,2,67,0.92,2,291
231,Reinickendorf,West 2,Entire home/apt,23,30,3,0.05,2,0
232,Reinickendorf,West 2,Entire home/apt,19,30,6,0.08,2,129
233,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,49,1,119,1.49,6,243
234,Charlottenburg-Wilm.,Kantstraße,Private room,45,14,12,0.15,3,0
235,Charlottenburg-Wilm.,Barstraße,Private room,45,2,5,0.12,1,0
236,Pankow,Helmholtzplatz,Entire home/apt,91,3,148,1.78,1,311
237,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,69,2,114,1.49,1,211
238,Charlottenburg-Wilm.,Düsseldorfer Straße,Entire home/apt,70,90,44,0.56,1,270
239,Neukölln,Reuterstraße,Entire home/apt,55,4,3,0.04,1,0
240,Pankow,Prenzlauer Berg Südwest,Private room,45,3,6,0.08,4,310
241,Pankow,Prenzlauer Berg Südwest,Private room,50,7,3,0.04,4,310
242,Pankow,Prenzlauer Berg Südwest,Private room,55,3,8,0.1,4,279
243,Charlottenburg-Wilm.,Otto-Suhr-Allee,Entire home/apt,93,3,14,0.26,4,236
244,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,175,2,94,1.13,2,158
245,Pankow,Prenzlauer Berg Südwest,Private room,95,3,14,0.18,4,319
246,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,52,3,28,0.36,2,0
247,Tempelhof - Schöneberg,Marienfelde,Entire home/apt,59,3,18,0.32,1,309
248,Charlottenburg-Wilm.,Otto-Suhr-Allee,Entire home/apt,58,3,4,0.06,4,238
249,Tempelhof - Schöneberg,Friedenau,Entire home/apt,72,3,1,0.05,4,283
250,Mitte,Tiergarten Süd,Entire home/apt,95,3,7,0.65,4,211
251,Spandau,Heerstraße Nord,Private room,40,1,26,0.34,1,322
252,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,55,1,30,0.36,1,35
253,Mitte,Brunnenstr. Nord,Entire home/apt,79,2,51,0.6,1,308
254,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Entire home/apt,56,60,2,0.02,1,290
255,Tempelhof - Schöneberg,Schöneberg-Nord,Private room,32,2,111,1.49,1,251
256,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,32,2,40,0.5,3,279
257,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,32,2,131,1.68,3,146
258,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,28,2,30,0.36,3,304
259,Neukölln,Reuterstraße,Private room,49,3,63,1.18,2,35
260,Charlottenburg-Wilm.,Neue Kantstraße,Entire home/apt,70,91,6,0.13,1,190
261,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,80,93,95,1.11,3,97
262,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,75,93,99,1.2,3,305
263,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,55,3,112,1.45,1,44
264,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,65,3,79,0.95,1,254
265,Friedrichshain-Kreuzberg,südliche Luisenstadt,Entire home/apt,96,2,142,2.83,1,244
266,Tempelhof - Schöneberg,Lichtenrade,Entire home/apt,51,3,35,0.47,2,275
267,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Private room,33,1,74,0.97,1,355
268,Steglitz - Zehlendorf,Albrechtstr.,Entire home/apt,59,2,69,0.95,3,219
269,Pankow,Prenzlauer Berg Südwest,Entire home/apt,99,2,113,1.37,1,91
270,Pankow,Prenzlauer Berg Südwest,Private room,49,2,201,2.51,1,13
271,Mitte,Regierungsviertel,Entire home/apt,148,5,66,0.78,1,124
272,Neukölln,Buckow,Entire home/apt,55,1,37,0.67,1,295
273,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,69,5,9,0.17,1,48
276,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,55,3,72,0.85,4,220
277,Mitte,Regierungsviertel,Private room,60,2,129,1.55,3,97
279,Neukölln,Reuterstraße,Private room,45,2,3,1.02,1,90
280,Pankow,Prenzlauer Berg Südwest,Entire home/apt,60,2,426,5.29,2,91
281,Reinickendorf,West 5,Entire home/apt,75,5,1,0.03,2,364
282,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,60,1,4,0.07,14,285
283,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,19,1,1,0.03,14,12
284,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,29,1,4,0.09,14,320
285,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Private room,29,1,1,0.03,14,235
286,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Shared room,9,1,10,0.23,14,276
287,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Shared room,9,1,5,0.09,14,275
288,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Shared room,9,1,58,0.73,14,319
289,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Shared room,9,1,25,0.42,14,318
290,Friedrichshain-Kreuzberg,Karl-Marx-Allee-Süd,Shared room,9,1,73,0.96,14,314
291,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,55,93,11,0.14,1,66
292,Treptow - Köpenick,Baumschulenweg,Entire home/apt,85,3,5,0.1,1,243
293,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,48,7,30,0.39,1,0
294,Neukölln,Reuterstraße,Entire home/apt,55,62,40,0.51,1,322
295,Mitte,Brunnenstr. Süd,Entire home/apt,129,2,89,1.11,1,0
296,Pankow,Helmholtzplatz,Entire home/apt,69,2,42,0.74,1,94
297,Treptow - Köpenick,Altglienicke,Entire home/apt,46,3,16,0.33,1,158
298,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Entire home/apt,55,3,56,0.75,4,268
299,Neukölln,Rudow,Entire home/apt,53,5,14,0.21,1,311
300,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,65,1,2,0.49,1,0
301,Pankow,Helmholtzplatz,Entire home/apt,89,3,166,1.98,1,316
302,Mitte,Brunnenstr. Süd,Entire home/apt,70,5,58,0.74,1,7
303,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Private room,43,3,202,2.6,2,99
304,Charlottenburg-Wilm.,Halensee,Entire home/apt,125,3,64,0.84,1,296
305,Mitte,Wedding Zentrum,Entire home/apt,61,4,6,0.1,2,0
306,Mitte,Wedding Zentrum,Entire home/apt,64,62,18,0.23,2,37
307,Pankow,Prenzlauer Berg Nord,Entire home/apt,60,3,126,1.57,1,0
308,Mitte,Alexanderplatz,Entire home/apt,65,3,28,0.35,1,0
309,Friedrichshain-Kreuzberg,nördliche Luisenstadt,Entire home/apt,80,3,23,0.28,1,0
310,Friedrichshain-Kreuzberg,südliche Luisenstadt,Private room,55,2,81,1.05,2,334
311,Neukölln,Rixdorf,Entire home/apt,70,2,39,0.51,1,338
312,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,50,90,104,1.25,4,341
313,Tempelhof - Schöneberg,Schöneberg-Nord,Entire home/apt,59,60,50,0.6,4,314
314,Neukölln,Reuterstraße,Entire home/apt,65,3,67,0.81,2,0
315,Neukölln,Reuterstraße,Private room,40,20,4,0.06,1,250
316,Mitte,Brunnenstr. Süd,Private room,76,2,42,0.52,1,365
317,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,Entire home/apt,45,270,86,1.03,1,190
320,Charlottenburg-Wilm.,Schloß Charlottenburg,Entire home/apt,34,30,15,0.23,3,280
321,Charlottenburg-Wilm.,Schloß Charlottenburg,Entire home/apt,50,3,18,0.23,3,0
322,Charlottenburg-Wilm.,Schloß Charlottenburg,Entire home/apt,34,30,18,0.27,3,249
323,Friedrichshain-Kreuzberg,Südliche Friedrichstadt,Entire home/apt,75,1,3,0.08,1,0
324,Neukölln,Reuterstraße,Private room,65,5,8,0.1,1,61
325,Charlottenburg-Wilm.,Kurfürstendamm,Private room,80,60,18,0.28,1,3
326,Mitte,Brunnenstr. Süd,Entire home/apt,120,4,10,0.14,1,0
327,Pankow,Prenzlauer Berg Südwest,Private room,50,1,498,6.29,3,242
328,Neukölln,Schillerpromenade,Private room,54,3,27,0.91,1,119
329,Friedrichshain-Kreuzberg,Frankfurter Allee Süd FK,Private room,29,2,21,0.27,2,227
330,Tempelhof - Schöneberg,Schöneberg-Süd,Entire home/apt,30,10,17,0.22,2,325
